id,Region_ID
0,2
1,2
2,2
3,12
4,7
5,12
6,4
7,4
8,4
9,7
10,7
11,7
12,13
13,13
14,13
15,3
16,3
17,3
18,9
19,10
20,11
21,3
22,3
23,3
24,5
25,5
26,5
27,10
28,15
29,10
30,1
31,1
32,1
33,9
34,9
35,9
36,9
37,10
38,10
39,1
40,1
41,1
42,7
43,7
44,7
45,4
46,4
47,4
48,11
49,11
50,11
51,6
52,6
53,5
54,11
55,11
56,11
57,12
58,12
59,12
60,3
61,3
62,3
63,4
64,4
65,4
66,13
67,13
68,13
69,8
70,8
71,8
72,12
73,12
74,12
75,5
76,5
77,5
78,5
79,3
80,5
81,5
82,5
83,5
84,1
85,1
86,1
87,15
88,15
89,15
90,2
91,8
92,8
93,12
94,12
95,12
96,13
97,13
98,12
99,10
100,10
101,10
102,4
103,4
104,4
105,1
106,1
107,1
108,2
109,2
110,13
111,13
112,7
113,13
114,1
115,1
116,1
117,9
118,10
119,9
120,8
121,8
122,8
123,4
124,4
125,4
126,2
127,4
128,8
129,5
130,5
131,5
132,6
133,6
134,6
135,10
136,10
137,10
138,15
139,1
140,1
141,15
142,15
143,15
144,11
145,11
146,11
147,4
148,4
149,4
150,10
151,10
152,10
153,13
154,13
155,13
156,11
157,10
158,10
159,8
160,3
161,8
162,1
163,1
164,1
165,15
166,15
167,15
168,5
169,5
170,5
171,12
172,12
173,12
174,7
175,7
176,7
177,10
178,10
179,10
180,10
181,9
182,10
183,15
184,15
185,15
186,9
187,9
188,9
189,13
190,13
191,13
192,7
193,12
194,11
195,10
196,10
197,10
198,4
199,4
200,4
201,6
202,6
203,6
204,11
205,11
206,11
207,7
208,7
209,7
210,6
211,6
212,6
213,12
214,12
215,12
216,7
217,7
218,7
219,9
220,9
221,9
222,7
223,7
224,7
225,4
226,6
227,6
228,3
229,2
230,2
231,15
232,15
233,15
234,8
235,8
236,4
237,14
238,14
239,14
240,15
241,15
242,15
243,7
244,7
245,7
246,1
247,2
248,3
249,14
250,14
251,14
252,3
253,3
254,3
255,6
256,6
257,6
258,11
259,15
260,15
261,8
262,8
263,8
264,10
265,10
266,10
267,11
268,11
269,11
270,2
271,3
272,8
273,6
274,6
275,6
276,3
277,8
278,3
279,8
280,8
281,8
282,2
283,2
284,2
285,3
286,10
287,3
288,15
289,1
290,15
291,15
292,15
293,15
294,5
295,5
296,5
297,3
298,3
299,3
300,10
301,11
302,11
303,4
304,4
305,4
306,5
307,5
308,5
309,1
310,15
311,15
312,4
313,4
314,4
315,8
316,8
317,8
318,10
319,10
320,10
321,13
322,12
323,12
324,14
325,14
326,14
327,15
328,15
329,15
330,15
331,10
332,15
333,9
334,8
335,8
336,7
337,7
338,7
339,3
340,3
341,3
342,13
343,12
344,12
345,2
346,2
347,2
348,13
349,13
350,13
351,11
352,11
353,11
354,13
355,13
356,13
357,13
358,13
359,13
360,5
361,6
362,6
363,6
364,6
365,6
366,5
367,5
368,5
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
